Time,HV Battery SOC (%),HV Battery Power (kW),HV Battery Current (A),G-Force (1),Vehicle Speed (km/hr) (km/hr)
00:00:01.0042,69.9999999974143,5.05432373047169e-06,1.48656580307991e-05,-5.62822592440578e-05,-0.00404259792081938
00:00:01.0048,69.9999999974128,4.62905021149244e-06,1.36148535632131e-05,-4.95304900417957e-05,-0.0040438902113949
00:00:01.0058,69.9999999974109,4.10390849484397e-06,1.20703191024822e-05,-4.08379522489842e-05,-0.00404536037045369
00:00:01.0070,69.9999999974088,3.47292537851831e-06,1.02144864074068e-05,-2.97907465115534e-05,-0.00404689709994716
00:00:01.0087,69.9999999974064,2.74124854805939e-06,8.06249572958644e-06,-1.59742864927461e-05,-0.00404823715841674
00:00:01.0110,69.9999999974039,1.90630793313855e-06,5.6067880386428e-06,1.52917435622914e-06,-0.00404884117495088
00:00:01.0145,69.9999999974014,9.56118456807013e-07,2.81211310825592e-06,2.48031623818943e-05,-0.00404724336855647
00:00:01.0209,69.9999999973999,-7.55204212826935e-08,-2.22118886125569e-07,5.78254849106366e-05,-0.00403816265951735
00:00:01.0332,69.9999999974017,-8.31570261215011e-07,-2.4457948859265e-06,9.93159097681146e-05,-0.00400505772638625
00:00:01.0456,69.9999999974065,-9.67469446822677e-07,-2.84549837300787e-06,0.000120509449151013,-0.00395798313070721
00:00:01.0579,69.999999997412,-9.53655343102574e-07,-2.80486865618404e-06,0.000130777490444871,-0.00390355797758072
00:00:01.0731,69.9999999974186,-9.00222122941085e-07,-2.64771212629731e-06,0.000136453045309796,-0.0038320882556512
00:00:01.0928,69.9999999974266,-8.30263275962047e-07,-2.44195081165308e-06,0.000138666712010075,-0.00373663915897673
00:00:01.1189,69.9999999974361,-7.48403361790164e-07,-2.20118635820636e-06,0.000138262340248618,-0.00360935520056363
00:00:01.1541,69.9999999974475,-6.47349302003539e-07,-1.90396853530453e-06,0.000136132680334324,-0.00343867658368281
00:00:01.2045,69.999999997461,-5.08745630816188e-07,-1.49631067887114e-06,0.000132775701639477,-0.00319974676978045
